"","date","Power","Ground Transport","Industry","Residential","Domestic Aviation"
"1",2019-01-01,3.96284548,3.34768386,2.85204032,2.6149025,0.3800745
"2",2019-01-02,4.61727909,4.30080234,3.13384969,3.14840803,0.47286197
"3",2019-01-03,4.44404084,4.43342908,3.06527693,2.96043031,0.50947822
"4",2019-01-04,4.35283876,4.60368151,3.03824338,2.79716832,0.49637711
"5",2019-01-05,4.0272477,4.44686059,2.90261915,2.58514392,0.44707108
"6",2019-01-06,3.4445967,3.96880923,2.60030377,2.48421187,0.42704009
"7",2019-01-07,3.88099664,4.26912343,2.77005101,2.55272394,0.44961106
"8",2019-01-08,3.78551002,4.26710161,2.79047099,2.30234711,0.47726871
"9",2019-01-09,4.32626847,4.28941858,2.94202467,2.74166334,0.4692603
"10",2019-01-10,4.81887001,4.41066771,3.05827523,3.3135507,0.53256757
"11",2019-01-11,4.95009557,4.57694559,3.0243047,3.38311405,0.4014955
"12",2019-01-12,4.57084736,4.41492535,2.89732788,3.2952266,0.40284733
"13",2019-01-13,4.8303821,3.94068733,3.03434489,3.36206994,0.36357753
"14",2019-01-14,5.38319021,4.28916676,3.25410089,3.50952341,0.43888081
"15",2019-01-15,5.3436916,4.2636954,3.16468524,3.42443761,0.45926881
"16",2019-01-16,5.27939459,4.31236443,3.05256866,3.14947409,0.42321583
"17",2019-01-17,5.19529019,4.43703691,3.05931887,3.06748573,0.48485585
"18",2019-01-18,4.56661688,4.58915663,2.82430678,2.92995186,0.50216828
"19",2019-01-19,4.42127,4.43384219,2.88395566,3.04008622,0.39836755
"20",2019-01-20,4.99768434,3.98070215,3.11405786,3.5575851,0.3321798
"21",2019-01-21,5.51117673,4.24446384,3.0995019,4.34697683,0.41815045
"22",2019-01-22,5.38616969,4.2739258,2.99630718,3.78758449,0.46976958
"23",2019-01-23,5.08004848,4.35474981,3.12577069,3.0648221,0.45598118
"24",2019-01-24,4.85939803,4.4941935,3.09201656,2.91248339,0.49540436
"25",2019-01-25,5.28618807,4.63928651,3.26254369,3.6528526,0.49708619
"26",2019-01-26,5.04798448,4.46677545,3.12717484,3.72332782,0.41993841
"27",2019-01-27,4.66893218,3.96155893,2.95026257,3.39988956,0.37738272
"28",2019-01-28,4.7371931,4.23311673,2.91446538,3.29802779,0.40486694
"29",2019-01-29,5.48141939,4.2193901,3.28362929,3.67536368,0.44710485
"30",2019-01-30,6.0203293,4.17794819,3.44812611,4.34608659,0.45007103
"31",2019-01-31,6.08211967,4.29154482,3.40420388,4.65287942,0.4791989
