"","date","cases","deaths","mortalityRate","infectionDifference"
"1","1/1/2021",20067339,347970,0.0173401166940968,NA
"2","1/10/2021",22338892,374440,0.0167617982127314,2271553
"3","1/11/2021",22561487,376488,0.0166871979670489,222595
"4","1/12/2021",22790259,380894,0.0167130176098481,228772
"5","1/13/2021",23019368,384824,0.0167174007557462,229109
"6","1/14/2021",23257786,388804,0.0167171544187396,238418
"7","1/15/2021",23497628,392553,0.0167060692253703,239842
"8","1/16/2021",23698721,395894,0.0167052897074066,201093
"9","1/17/2021",23867523,397624,0.0166596257181778,168802
"10","1/18/2021",24009618,399065,0.0166210474485683,142095
"11","1/19/2021",24194266,401836,0.0166087286962952,184648
"12","1/2/2021",20357881,350343,0.0172092075791189,-3836385
"13","1/20/2021",24381049,406216,0.016661137098736,4023168
"14","1/21/2020",1,0,0,-24381048
"15","1/21/2021",24570970,410351,0.0167006430759551,24570969
"16","1/22/2020",1,0,0,-24570969
"17","1/22/2021",24762165,414082,0.0167223665620514,24762164
"18","1/23/2020",1,0,0,-24762164
"19","1/23/2021",24929360,417404,0.0167434703498205,24929359
"20","1/24/2020",2,0,0,-24929358
"21","1/24/2021",25057936,419219,0.0167299892537039,25057934
"22","1/25/2020",3,0,0,-25057933
"23","1/25/2021",25213082,421126,0.016702678395287,25213079
"24","1/26/2020",5,0,0,-25213077
"25","1/26/2021",25364246,425223,0.0167646615633676,25364241
"26","1/27/2020",5,0,0,-25364241
"27","1/27/2021",25519711,429326,0.0168233096370096,25519706
"28","1/28/2020",5,0,0,-25519706
"29","1/28/2021",25684668,433194,0.0168658594302251,25684663
"30","1/29/2020",5,0,0,-25684663
"31","1/29/2021",25849908,436794,0.0168973135223537,25849903
"32","1/3/2021",20559609,351694,0.0171060646143611,-5290299
"33","1/30/2020",6,0,0,-20559603
"34","1/30/2021",25983403,439435,0.0169121419546162,25983397
"35","1/31/2020",7,0,0,-25983396
"36","1/31/2021",26096950,441299,0.0169099837337313,26096943
"37","1/4/2021",20810967,353743,0.0169979126870943,-5285983
